EXP,PED,HYB,SRC,GROUP,Plot,REP,Range,Row,PDT,DTA,DTS,HDT,PHT,EHT,STC,RLD,SLD,MAH,TWT,GWT,YLD,MST,PROT,OIL,FIB,STA,ASH,DEN
ORG_YieldTrial2022,PHB47*PHN82,PHB47*PHN82,ILH1,HIP,1102,2,8,7,5/31/2022,57,60,10/20/2022,182,77,NA,0,0,18,54.7,12.31,109.1937735,8.03,7.33,3.43,1.38,67.39,1,1.31
ORG_YieldTrial2022,LH82*PH207-B-B-29-1-1-B-B X PHG35*PHG47-B-B-24-1-1-B-B,UIUC388,2019MOB_CONV,NIFATOP19,1192,2,13,25,5/31/2022,61,64,10/20/2022,140,75,NA,0,2,20,52,11.93,108.60264,7.45,7.23,3.56,1.77,68.12,1.1,1.27
ORG_YieldTrial2022,PHG39*PHG84,ILORG0009,2019MOB_ORG,ORGOREI,1018,1,3,37,5/31/2022,61,68,10/20/2022,180,81,NA,0,0,27.5,47.7,11.95,107.4733604,7.82,6.88,3.84,1.58,67.94,1.05,1.28
ORG_YieldTrial2022,LH145*LH82,LH145*LH82,ILH1,HIP,1140,2,10,15,5/31/2022,50,55,10/20/2022,157,81,NA,0,3,15.2,58,12.41,107.3625791,7.56,6.53,3.36,1.73,68.86,1.1,1.28
ORG_YieldTrial2022,B73*PH207-B-B-9-1-1-B-BxPHG35*PHG39-B-B-30-1-1-B-B,UIUC295,2019MOB_CONV,NIFATOP20,1080,1,6,27,5/31/2022,61,65,10/20/2022,210,87,NA,0,0,21.3,51,11.75,107.2891287,7.65,6.61,3.63,1.89,68.43,1.1,1.26
ORG_YieldTrial2022,J23/A22,MNT2,2020 Montigomery ,MONT,1008,1,2,19,5/31/2022,61,68,10/20/2022,176,83,NA,0,0,29.6,46.6,11.99,107.1813495,8.38,5.55,5.14,2.01,67.36,1.03,1.24
ORG_YieldTrial2022,BR 59H44,CHECK3,Blue River Hybrids,Check,1040,1,4,15,5/31/2022,61,65,10/20/2022,215,110,NA,0,0,20.4,51.5,11.67,106.7308554,7.48,6.03,4.06,1.83,68.52,1.13,1.26
ORG_YieldTrial2022,LH82*PH207-B-B-21-1-1-B-B X PHG35*PHG47-B-B-17-1-1-B-B,UIUC380,2019MOB_CONV,NIFATOP19,1033,1,3,7,5/31/2022,50,54,10/20/2022,152,74,NA,0,0,15,58.4,12.13,104.467253,7.91,6.66,3.74,1.57,67.73,1.04,1.29
ORG_YieldTrial2022,B73*PHZ51,B73*PHZ51,ILH1,HIP,1146,2,10,27,5/31/2022,61,65,10/20/2022,210,94,NA,0,0,24.3,48.9,11.35,103.9671592,7.89,6.03,4.58,2.11,67.83,1.09,1.23
ORG_YieldTrial2022,PHB47*PHK76,PHB47*PHK76,ILH1,HIP,1078,1,6,23,5/31/2022,54,57,10/20/2022,154,92,NA,0,0,15,58.1,11.98,103.7081547,8.24,7.27,3.54,1.68,66.54,1.02,1.28
ORG_YieldTrial2022,B73*PHZ51,B73*PHZ51,ILH1,HIP,1004,1,2,11,5/31/2022,58,64,10/20/2022,220,102,NA,0,0,19.1,53.2,11.42,102.7581528,7.81,6.43,4.19,1.89,67.79,1.07,1.25
ORG_YieldTrial2022,LH244*PHZ51,LH244*PHZ51,ILH1,HIP,1098,1,7,13,5/31/2022,59,63,10/20/2022,197,81,NA,0,1,22.6,50.2,11.01,100.4472053,7.67,5.96,4.34,2.09,68.41,1.09,1.24
ORG_YieldTrial2022,17.461,ORG1,2020 Mandaamin,MAN,1168,2,11,5,5/31/2022,55,62,10/20/2022,168,79,NA,0,0,20.1,52.2,11.09,100.4433336,NA,NA,NA,NA,NA,NA,NA
ORG_YieldTrial2022,B73*PHG39-B-B-24-1-1-B-B X PH207*PHG47-B-B-21-1-1-B-B,UIUC89,2019MOB_CONV,NIFABOT19,1132,2,9,9,5/31/2022,54,62,10/20/2022,190,111,NA,0,0,13.8,59.4,11.64,99.95098918,7.87,7,4.67,1.76,66.8,1.13,1.27
ORG_YieldTrial2022,Viking 0.51-04GS-P,CHECK2,Viking,Check,1164,2,11,13,5/31/2022,62,65,10/20/2022,164,73,NA,0,0,23.3,49.5,10.87,99.66278166,7.06,6.37,4.36,2.07,68.06,1.1,1.24
ORG_YieldTrial2022,B73*LH82-B-B-18-1-1-B-BxB73*PHG47-B-B-13-1-1-B-B,UIUC244,2019MOB_CONV,NIFABOT20,1071,1,6,9,5/31/2022,57,63,10/20/2022,177,84,NA,0,0,15.7,57.5,11.47,99.50306149,7.14,7.04,4.42,1.48,67.29,1.11,1.29
ORG_YieldTrial2022,LH244*PHZ51,LH244*PHZ51,ILH1,HIP,1108,2,8,19,5/31/2022,61,66,10/20/2022,205,91,NA,0,0,24.8,48.4,10.79,99.19898284,NA,NA,NA,NA,NA,NA,NA
