PED,GEN,SRC,HYB,LOC,REP,STC,MST,GWT,TWT,YLD
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,CRL06,2,71,16.8,13.43,55.1,117.5532
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,BRKAb,1,67,18.6,25.03,56.2,214.3484
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,BRKAb,2,72,18.5,20.84,52.9,178.6859
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,CRW14,2,58,16.3,21.34,57.1,187.9122
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,CRW14,1,72,16.3,18.22,56.8,160.4386
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,MRSE,1,58,21.7,22.13,51.6,182.2965
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,MRSE,2,73,21.6,25.37,53.8,209.253
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,MRSE,3,60,22.7,20.11,51.2,163.541
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,KYS02,2,67,17.9,24.42,56.7,210.923
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,KYS02,1,61,18.1,25.15,57.3,216.699
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,CRL06,2,57,20.2,19.29,54.7,161.946
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,CRL06,1,67,19.1,22.59,55.7,192.2648
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,BRKAb,2,48,21.6,19.77,52.3,163.0639
B73*PH207-B-B-12-1-1-B-B  X PHG35*PHG47-B-B-28-1-1-B-B,F1,UIUC,UIUC500,BRKAb,1,66,20.4,24.24,54.4,202.9929
