LOC,HYB,BLUP
KYS02,ISU043,177.7883523
KYS02,ISU044,159.4995971
KYS02,ISU045,165.7551999
KYS02,ISU046,168.6505538
KYS02,ISU047,160.4931249
KYS02,ISU048,167.5770077
KYS02,ISU051,172.4602847
KYS02,ISU052,174.7327504
KYS02,ISU053,159.6686587
KYS02,ISU054,164.0304526
KYS02,ISU055,158.7268132
KYS02,ISU056,163.0821085
KYS02,ISU057,160.8585751
KYS02,ISU058,171.3133501
KYS02,ISU059,168.4620979
KYS02,ISU060,180.7193787
KYS02,ISU061,166.8688798
KYS02,ISU062,167.7410745
KYS02,ISU063,164.0038576
KYS02,ISU064,171.7317497
KYS02,ISU065,175.3495905
KYS02,ISU066,171.8905039
KYS02,ISU067,181.4943223
KYS02,ISU068,162.8691919
KYS02,ISU069,164.1274882
KYS02,ISU070,163.0591618
KYS02,ISU071,156.0056601
KYS02,ISU072,170.5576481
KYS02,ISU073,165.5169848
KYS02,ISU074,159.784083
KYS02,ISU075,178.249924
KYS02,ISU076,171.9738546
KYS02,ISU077,170.9033976
KYS02,ISU078,164.3453928
KYS02,ISU079,155.5597498
KYS02,ISU080,155.3848341
KYS02,ISU081,170.1598356
KYS02,ISU082,159.1052275
KYS02,ISU083,167.1950989
KYS02,UIUC500,167.1935261
KYS02,UIUC502,169.3993769
KYS02,UIUC515,161.7575871
KYS02,UIUC518,180.8974357
KYS02,UIUC523,164.3701066
KYS02,UIUC524,176.3349439
KYS02,UIUC526,169.617741
KYS02,UIUC539,169.2882308
MRSE,CHECK1,158.3307776
MRSE,CHECK2,159.3034536
MRSE,ISU001,159.0113402
MRSE,ISU002,171.0087276
MRSE,ISU003,159.8254118
MRSE,ISU004,153.0810855
MRSE,ISU005,164.283968
MRSE,ISU006,152.1518108
MRSE,ISU007,171.948515
MRSE,ISU008,174.0942782
MRSE,ISU009,160.3178361
MRSE,ISU010,168.0456657
MRSE,ISU011,149.9474632
MRSE,ISU012,166.6997183
MRSE,ISU013,169.7930579
MRSE,ISU014,176.6062791
MRSE,ISU015,166.2649732
MRSE,ISU016,166.5859201
MRSE,ISU017,162.715181
MRSE,ISU018,169.2507594
MRSE,ISU019,172.0347219
MRSE,ISU020,176.3489346
MRSE,ISU021,171.7450837
MRSE,ISU022,160.9985503
MRSE,ISU023,175.5624655
MRSE,ISU024,166.7351725
MRSE,ISU025,158.205293
MRSE,ISU026,160.2342005
MRSE,ISU027,167.2922102
MRSE,ISU028,154.674716
MRSE,ISU029,172.5186263
MRSE,ISU030,172.1834957
MRSE,ISU031,163.912303
MRSE,ISU032,169.5367967
MRSE,ISU033,173.8612734
MRSE,ISU034,159.1092844
MRSE,ISU035,163.370787
MRSE,ISU036,166.2495902
MRSE,ISU037,165.9533971
MRSE,ISU038,181.0041738
MRSE,ISU039,171.6011811
MRSE,ISU040,166.1300775
MRSE,ISU041,166.1989094
MRSE,ISU042,168.6359316
MRSE,ISU043,163.363014
MRSE,ISU044,167.7490491
MRSE,ISU045,176.9438183
MRSE,ISU046,179.3266574
MRSE,ISU047,171.0888969
MRSE,ISU048,166.276145
MRSE,ISU051,171.4364209
MRSE,ISU052,172.6325636
MRSE,ISU053,168.064442
MRSE,ISU054,156.189084
MRSE,ISU055,171.1231041
MRSE,ISU056,150.2765055
MRSE,ISU057,159.5609057
MRSE,ISU058,165.4162852
MRSE,ISU060,165.5056278
MRSE,ISU061,163.1007666
MRSE,ISU062,163.9718185
MRSE,ISU063,177.4546157
MRSE,ISU064,167.5706657
MRSE,ISU065,184.6112787
MRSE,ISU066,175.960855
MRSE,ISU067,167.777242
MRSE,ISU069,172.6589521
MRSE,ISU070,168.5744639
MRSE,ISU071,166.6624052
MRSE,ISU072,164.9659255
MRSE,ISU073,156.5677141
MRSE,ISU075,162.8215376
MRSE,ISU076,164.9341749
MRSE,ISU078,155.6531652
MRSE,ISU079,165.3319946
MRSE,ISU080,159.3010779
MRSE,ISU081,167.7905326
MRSE,ISU082,160.3893675
MRSE,ISU083,166.5937958
MRSE,UIUC500,170.9469919
MRSE,UIUC502,154.6998241
MRSE,UIUC515,172.3553361
MRSE,UIUC518,166.9906492
MRSE,UIUC523,170.2338285
MRSE,UIUC524,159.0165793
MRSE,UIUC526,173.9357305
MRSE,UIUC539,183.4283152
